id,"nama_matakuliah",keahlian_id
523,"Interaksi Manusia  Komputer",5
524,"Sistem Informasi Intellijen",4
525,"Algoritma & Pemrograman C",1
526,"Algoritma Pemrograman I",1
527,"Struktur Data",4
528,"Spking Skill  In News & Bsn Presentation",NULL
529,"Sistem Operasi Komputer",3
530,"Algoritma & Pemrograman",1
531,"Komunikasi Interpersonal",NULL
532,"Statistika",2
533,"Dasar Intelegensia Artifisial",NULL
534,"Inteligensia Artifisial Terdistribusi",3
535,"Sistem Cerdas Lanjut",3
536,"Pemrograman & Aplikasi Internetweb",1
537,"Kecerdasan Artifisial & Komputasional",NULL
538,"Sistem Kendali Cerdas",3
539,"Kendali Kokoh",NULL
540,"Kendali Robust",NULL
541,"Intelegensia Artifisial Terdistribusi",3
542,"Kendali Optimal",NULL
543,"Kendali Dan Sistem Cerdas",3
544,"Pemodelan Simulasi Sistem Fisiologis L",2
545,"Dasar Sistem & Kendali Cerdas",3
546,"Pemrosesan Bahasa Alami",7
547,"Perancangan Sistem Biomedika",3
548,"Sistem Informasiintellijen",3
549,"Wirausahadesain",NULL
550,"Manajemen Sumber Daya Informasi",4
551,"Branding",NULL
552,"Narasi Visual",NULL
553,"Manajemen Proyek",5
554,"Organisasi & Arsitektur Komputer",3
555,"Hukum Lingkungan",NULL
556,"Pemrosesan Text Dansuara Bahasaalami",NULL
557,"Metode Statistika",2
558,"Komputasi Matematika",2
559,"Pengkodean Informasi Dan Kompresi Data",4
560,"Sistem Dsp Vlsi",3
561,"Kompresi Data Dan Multimedia",4
562,"Perancangan Sistem Dsp",3
563,"Pengenalan Teknologi Informasi C",4
564,"Manajemen Investasiteknologiinformas",4
565,"Praktikumteknik Elektro I",NULL
566,"Metoda Komputasi Untuk Gel. Mikro & Gel.",NULL
567,"Pengolahan Sinyal Larik",NULL
568,"Medan Elektromagnetik Iib",NULL
569,"Pengolahan Citra Biomedika Lanjut",6
570,"Pengolahan Citra Dan Pengenalan Pola",6
571,"Medan Elektromagnetik",NULL
572,"Topik Khusus Sistem Komunikasi Radio",3
573,"Sistem Observasi",3
574,"Pemrosesan Sinyal",NULL
575,"Pengolahan Sinyal",NULL
576,"Teknik Elektro Informatika Lanjut I",NULL
577,"Teknik Elektro Informatika Lanjut Iii",NULL
578,"Penelitian Seminar Kemajuan Iv",NULL
579,"Penelitian Seminar Kemajuan Iii",NULL
580,"Penelitian Seminar Kemajuan I",NULL
581,"Penelitian Seminar Kemajuan Ii",NULL
582,"Teknik Elektro Informatika Lanjut Ii",NULL
583,"Teknik Elektro Dan Informatika Lanjut",NULL
584,"Sistem Pengindraan",3
585,"Perencanaan Sistem Layanan Telekomunik",3
586,"Operasi & Pemeliharaan Sistem Tegangan T",3
587,"Pengolahan Sinyal Radar",NULL
588,"Struktur Data Dan Algoritma",1
589,"Sistem Pengoperasian",3
590,"Basis Data Enterprise",4
591,"Rekayasa Sistem",3
592,"Teknologi Informatika Dan Komputer",NULL
593,"Manajemen Proyek Perangkat Lunak Lanjut",5
594,"Tata Kelola It & Manajemen Resiko",4
595,"Pengembangan Aplikasi Berbasis Web",1
596,"Jaringan Komputerlanjut",3
597,"Sistem Terdistribusi Lanjut",3
598,"Sistem Berkinerja Tinggi",3
599,"Organisasi  Arsitektur Komputer",3
600,"Pengembangan Aplikasi Media Interaktif D",1
601,"Pengantar Kecerdasan B",NULL
602,"Metode Kuantitatif",NULL
603,"Mikroprosesor",NULL
604,"Matematika Diskret",2
605,"Sensor Dan Tranduser",NULL
606,"Object Oriented Programing",NULL
607,"Matematika Komputasi",2
608,"Pemrograman Logika",1
609,"Pengantar Pemrosesan Bahasa Alami",7
610,"Tugas Akhir",NULL
611,"Matematika Dan Statistika Untuk Komputas",2
612,"Komputasi Metaheuristik Terapan",NULL
613,"Metode Klimatologi Lanjut",NULL
614,"Klimatologi Terapan Lanjut",NULL
615,"Topik Dalam Pengenalan Pola",NULL
616,"Mk 3  Kecerdasan Komputasional",NULL
617,"Teknik Optimasi Untuk Komputasi",2
618,"Kecerdasan Komputasional",NULL
619,"Matematika Dan Statistika Untuk Komputasi",2
620,"Struktur Diskret",NULL
621,"Sistem Cerdas",3
622,"Pemrosesan Suara Dan Bahasa Alami",7
623,"Pengantar Logika Matematika",2
624,"Organisasi Komputer",3
625,"Pengantar Pengolahan Citra Digital",6
626,"Sistem Pakar",3
627,"Komunikasi Data Dan Jaringan Komputer",3
628,"Pengolahan Citra Digital",6
629,"Interaksi Manusia Dan Komputer",5
630,"Analisis Algoritme",2
631,"Pengembangan Sistem Berorientasi Objek",3
632,"Algoritme",NULL
633,"Metode Penelitian Dan Telaah Pustaka",NULL
634,"Bahasa Pemrograman",1
635,"Sistem Berkas",3
636,"Teori Bahasa Otomata",NULL
637,"Penerapan Komputer",NULL
638,"Pemrosesan Pararel",NULL
639,"Manajemen Pemasaran",4
640,"Pengantar Akuntansi",NULL
641,"Decision Support System",NULL
642,"Temu Kembali Informasi",4
643,"Sistem Pendukung Keputusan",3
644,"Sistem Manajemen Basis Data",4
645,"Bioprospeksi Hutan Tropika",NULL
646,"Topik Dalam Sistem Pakar Dan Sistem Penu",3
647,"Topik Dalam Sistem Pakar Dan Sistem Penunjang Keputusan",3
648,"Pembangunan Sistem Perangkat Lunak",3
649,"Algoritme Dan Pemrograman Komputer",1
650,"Software Engennering",NULL
651,"Topik Dalam Perancangan Aplikasi Jaringa",NULL
652,"Topik Dalam Bioinformatika",NULL
653,"Kapita Selekta Ilmu Komputer",NULL
654,"Analisis Dan Desain Algoritma*",2
655,"Pengujian Dan Penjaminan Kualitas Perang",NULL
656,"Pemrosesan Paralel",3
657,"Pengujian Dan Penjaminan Mutu Perangkat Lunak",5
658,"Biomolekuler Hasil Perairan",NULL
659,"Perancangan Dan Analisis Algoritme",2
660,"Pengantar Matematika Komputasi",2
661,"Pengantar Bioinformatika",NULL
662,"Pengantar Teknologi Geospasial",NULL
663,"Kalkulus Lanjut",2
664,"Komputasi Numerik",NULL
665,"Pengembangan Sistem Beriorientasi Obyek",3
666,"Pengembangan Sistem",3
667,"Kapita Selekta Ilmu Ko",NULL
668,"Sistem Manajemen Basis Data**",4
669,"Kalkulus 1",2
670,"Perancangan Perangkat Lunak Lanjut",5
671,"Pengenalan Komputer",NULL
672,"Perangkat Lunak Aplikasi Web**",5
673,"Perancangan Perangkat Lunak**",NULL
674,"Sistem Penunjang Keputusan",3
675,"Metodologi Penelitian & Telaah Pustaka",5
676,"Sim Perencstrategis Sis.Inf/Tek.Inf*",NULL
677,"Pengelolaan Proyek Sistem Informasi",4
678,"Manajemen Operasional",4
679,"Riset Operasi",NULL
680,"Testing Implementasi Sis.&Audit Si/Ti",NULL
681,"Testing Dan Implementasi Sistem",3
682,"Etika Komputasi",NULL
683,"Algoritme Dan Pemrograman",1
684,"Pengantar Sistem Tertanam Dan Robotika",3
685,"Teknologi Komunikasi D",NULL
686,"Basisdata Terdistribusi",3
687,"Pengantar Peluang",NULL
688,"Pengantar Hitung Peluang",NULL
689,"Kolokium",NULL
690,"Rangkaian Digital",10
691,"Topik Dalam Data Mining Terapan",4
692,"Pemrograman Visual I",1
693,"Pemrograman Berbasis Objek",1
694,"Sistem Informasi Geogr",4
