id,"nama_matakuliah",keahlian_id
1379,"Seminar Elektronika Dan Instrumentasi",NULL
1380,"Praktikum Pengantar Teknologi Informasi",4
1381,"Kewirausahaan Manaj",NULL
1382,"Pendidikan Kewarganegaraan",NULL
1383,"Praktikum Sistem Kendali",3
1384,"Tek.Informasi Kontenporer",NULL
1385,"Instrumentasi Industri",NULL
1386,"Eksp.Pemrosesan Sinyal Digital I",NULL
1387,"Instrumentasi",NULL
1388,"Komputabilitas Dan Kompleksitas",1
1389,"Embedded System O.S",NULL
1390,"Pemrosesan Sinyal Digital I",NULL
1391,"Teknologi Informasi Kontemporer",4
1392,"Workshop Elektronika Inst",NULL
1393,"Tekninformasi Kontemporer",NULL
1394,"Metode Penulisan Karya Ilmiah",NULL
1395,"Multitier Sistem",3
1396,"Pengteknologi Informasi",4
1397,"Lan Dalan Praktek",NULL
1398,"Grafika Interaktif Animasi",6
1399,"Perancangan Antar Muka Pengguna",NULL
1400,"Instrumentasi Medis *",NULL
1401,"Citra Digitalikom",6
1402,"Algoritma & Pemrograman 1",1
1403,"Informasi Dan Sistem Multi-Media",4
1404,"Instrumentasi Biomedik",NULL
1405,"Model Dan Sistem Informasi",4
1406,"Instrumentasi I",NULL
1407,"Ekspinstrumentasi",NULL
1408,"Metopengukuran",NULL
1409,"Lan Dalam Praktek",NULL
1410,"Penginstr.Ind",NULL
1411,"Analisis Dampak Pembangunan",2
1412,"Grafik Komputer",6
1413,"Sistem Pengukuran Fisis",3
1414,"Simulasi Dalam Fisika  *",2
1415,"Fiture Base Image Prpcessing",NULL
1416,"Group Decision Support System",NULL
1417,"Pengsistem Kontrol",NULL
1418,"Desain Antar Muka",5
1419,"Peng.Tekinformasi",NULL
1420,"User Interface Design",NULL
1421,"Feature Based Image Processing",NULL
1422,"Grafika Interaktif Dan Animasi",6
1423,"Pattern Recognition",NULL
1424,"Kerja Pratek Industri",NULL
1425,"Tukus Khusus Fisika",NULL
1426,"Sistem Paralel",3
1427,"Tugas Akhir Instrumentasi",NULL
1428,"Ekspfis.Dasi",NULL
1429,"Quantitative Seismology",NULL
1430,"Teknologi Informasi",4
1431,"Image Understanding",NULL
1432,"Pemrosesan Signal Digital",NULL
1433,"Sensor Network",3
1434,"Ekspelektronika Lanjut I",NULL
1435,"Texture Kayu",NULL
1436,"Ontology And Spatial Indexing",NULL
1437,"Komputasi Fraktal",NULL
1438,"Testing Implementasi Sistem",3
1439,"Metode Penelitian Penulisan Ilmiah",NULL
1440,"Computer Vision System",NULL
1441,"Tugas Khusus Ii",NULL
1442,"Pemodelan Citra Digital",6
1443,"Model Dan Sistem Informasi Lanjut",4
1444,"Disertasi",NULL
1445,"Tugas Akhirsistem Komputer",NULL
1446,"Pancasila",NULL
1447,"Praktikum Sistem Terdistribusi",3
1448,"Eksprogram Terstruktur I",NULL
1449,"Ekspinstrumentasi Ii",NULL
1450,"Pemrosesan Data Spasial",4
1451,"Countent Based Image Retrieval",NULL
1452,"Natural Language Precessing",NULL
1453,"Testing & Implementasi Sistem",3
1454,"Advanted Computer Graphics",6
1455,"Feature Based Ip",NULL
1456,"Praktikum Sistem Kontrol Digital",3
1457,"Prakassembler",NULL
1458,"Elektronika Iii",NULL
1459,"Prakjaringan Tcp/Ip",NULL
1460,"Praksimulasi Elektronik",NULL
1461,"Kerja Labore",NULL
1462,"Prak.Elektronika I",NULL
1463,"Motor-Motor Listrik",NULL
1464,"Metode Pengukuran",NULL
1465,"Mobile Networking",NULL
1466,"Video Image Processing",NULL
1467,"Prakteknologi Informasi Kontemporer",4
1468,"Met.Penelitian Elektronika Dan Instrumei",NULL
1469,"Sistem Pendukung Pengambilan Keputusan",3
1470,"Content Based Image Processing",NULL
1471,"Speech Recognition",7
1472,"Peng.Elektronika Inst",NULL
1473,"Sistem Pendukung Keputusan Untuk Organisasi Kesehatan",3
1474,"Sistem Penglihat Komputer",3
1475,"Kerja Lab.Edp I",NULL
1476,"Kerja Labpemrogvisual Basic",NULL
1477,"Konsep Bahasa Pemrograman",1
1478,"Prakprogram Terstruktur",NULL
1479,"Kerja Labpemrogdelphi",NULL
1480,"Praktikum Pemrograman Terstruktur",1
1481,"Praktikum Komputasi Numerik",NULL
1482,"Praktikum Struktur Data",4
1483,"Praktikum Basis Data",4
1484,"Matematika",2
1485,"Praktmetode Numerik",NULL
1486,"Dasar-Dasar Akuntansi",NULL
1487,"Pemrograman Non Prosedural",1
1488,"Praktikum Rpl",5
1489,"Metodologi Penelitian Ilkomp",5
1490,"Basis Data 2",4
1491,"Prak.Basis Data",4
1492,"Prakstruktur Data",4
1493,"Biostatistik",NULL
1494,"Aljabar Vektor Dan Matriks",NULL
1495,"Praktprogram Terstruktur I",NULL
1496,"Analisis Dan Desain Sistem",2
1497,"Praktimum Pemrograman Web 1",1
1498,"Praktikum Sistem Operasi (Linux)",3
1499,"Kl Pemrograman Web Ii (Javamobile",1
1500,"Praktikum Pemrograman Terstruktur 1",1
1501,"Kl.Jaringan",NULL
1502,"Klpemrograman Visual I",NULL
1503,"Klpemrograman Bahasa C+",NULL
1504,"Praktikum Basisdata",NULL
1505,"Basisdata",NULL
1506,"Praktek Lapangan Iv",NULL
1507,"Statistik Pelayanan Kesehatan",NULL
1508,"Kerja Lab Edp",NULL
1509,"Praksistem Operasi",NULL
1510,"Prakrekayasa Perangkat Lunak",5
1511,"Kapita Selekta Komputasi",NULL
1512,"Pendidikan Pancasila",NULL
1513,"Praktikum Algoritma Dan Struktur Data I",1
1514,"Kapita Selekta Algoritma Genetika",1
1515,"Praktalgoritma Dan Pemrograman",1
1516,"Praktarsi",NULL
1517,"Logika Fuzzy",2
1518,"Algoritma Genetika",1
1519,"Sistem Dan Pengelolaan Komputer",3
1520,"Kl Pemrograman Visual Ii",1
1521,"Analis Dan Rancangan Si",NULL
1522,"Prakberkas Dan Basis Data",4
1523,"Berkas Dan Basis Data",4
1524,"Praktek Lapangan V",NULL
1525,"Bioinformatika",NULL
1526,"Matematika Diskrit (Prodi :Kom)",2
1527,"Praktikum Arsi",NULL
1528,"Kerja Lab Pelaporan-Penyajian Data",4
1529,"Kl Pengelolaan Instalasi Komputer",NULL
1530,"Kl Grafika Komputer",6
1531,"Etika Profesi Bisnis",8
1532,"Data Minning",4
1533,"Computational Intelligence",NULL
1534,"Etika Profesi Dan Bisnis",8
1535,"Kerja Labedp I",NULL
1536,"Pemrograman Terstruktur",1
1537,"Kerja Labedp Ii (Basis Data",4
1538,"Prakpemrogrberorientasi Obyek",NULL
1539,"Kerja Labpemrograman Web Ii",1
1540,"Pemrograman Visual",1
1541,"Prakt. Metode Numerik",NULL
1542,"Jaringan Syaraf Tiruan",3
1543,"Kspengantar Robotika",7
1544,"Praktikum Algoritma & Pemrograman",1
1545,"Matematika Informatika",2
1546,"Prakpengteknologi Informasi",4
1547,"Prakjaringan Komputer",NULL
1548,"Pengantar Manajemen Proyek",5
1549,"Pemrograman Terstruktur I",1
1550,"Pemrograman Terstruktur 2",1
1551,"Program Terstruktur 1",1
1552,"Prakpemrograman Berorientasi-Object",NULL
1553,"Praktikum Statistika",2
1554,"Pemrograman Web 1",1
1555,"Praktpengantar Multimedia",NULL
1556,"Matematika I",2
1557,"Prakalgoritma Dan Struktur Data Ii",4
1558,"Algoritma Dan Struktur Data Ii",1
1559,"Algoritma Dan Struktur Data I",1
1560,"Kl Jaringan Komputer 2",3
1561,"Praktikum Desain Elementer",5
1562,"Pendidikan Agama Budha",NULL
1563,"Proyek Multimedia Dan Teknologi Game",5
1564,"Praktikum Pengantar Sistem Informasi Ter",4
1565,"Praktikum Rekayasa Perangkat Lunak",5
1566,"Matematika Diskrit 1",2
1567,"Klpemrogaplikasi Perangkat Bergerak",NULL
1568,"Pendidikan Agama Katolik",NULL
1569,"Pendidikan Agama Kristen",NULL
1570,"Praktikum Algoritma Dan Struktur Data 2",1
1571,"Animasi Dan Grafik Tiga Dimensi",6
1572,"Prakanimasi Dan Grafik Tiga Dimensi",6
1573,"Kl Pemrograman Web I",1
1574,"Praktikum Pengantar Kecerdasan Bisnis",NULL
1575,"Kl Pemrograman Game",1
1576,"Metode Numeris",NULL
1577,"Karya Tulis Ilmiah",NULL
1578,"Prakbasis Data",4
1579,"Analisis Algoritma",1
1580,"Analisis Dan Desain Algoritma I",1
1581,"Manajemen Proyek Informatika",5
1582,"Kerja Labaplikasi Cad/Camp",NULL
1583,"Kerja Labpelaporan Penyajian Data",4
1584,"Perancangan Sistem Berorientasi Obyek",3
1585,"Kerja Labpemrograman Web I",1
1586,"Uji Kualitas Perangkat Lunak",5
1587,"Pengantar Algoritma",1
1588,"Tugas Akhir/Skripsi",NULL
1589,"Virtual Reality",NULL
1590,"Artificial Intelligent",NULL
1591,"Teknologi E-Learning",NULL
1592,"Cognitive Computing",NULL
1593,"Intelligent Agent",NULL
1594,"Multi Agent System",NULL
1595,"Mobile Computing",NULL
1596,"Manajemen Aset",4
1597,"Metode Optimasi",2
1598,"Cloud Computing",3
1599,"Metod.Pen.Ilmu Komp",NULL
1600,"Information Technology Project Managemen",5
1601,"Bisnis Inteligen",7
1602,"Teknologi Informasi Dan Komunikasi Pt",4
1603,"Perancangan Multimedia",NULL
1604,"Pemrograman Dasar",1
1605,"Komputer Grafis",NULL
1606,"Analisis Dan Perancangan Sistem Informas",2
1607,"Keamanan Jaringan",4
1608,"Pemrograman Jaringan Dan Web",1
1609,"Teknik Komputer Interaktif",NULL
1610,"Praktpemrograman Dasar",NULL
1611,"Prakt. Pemrograman Dasar",1
1612,"Sitem Informasi",4
1613,"Azas-Azas Ti Dan Ti Masa Depan",NULL
1614,"Sistem Peripheral",3
1615,"Piranti Elektronik",NULL
1616,"Praktikumsistem Peripheral",NULL
1617,"Kerja Lab Bahasa C+",NULL
1618,"Motor-Motor Khusus",NULL
1619,"Kerja Labsistem Operasi (Unix,Nt",NULL
1620,"Mikrokomputer Ii",NULL
1621,"Sisoprapemrogkomp",NULL
1622,"Analisa Dan Rancangan Sistem Informasi",4
1623,"Eksp.Mikrokomputer Ii",NULL
1624,"Arsi",NULL
1625,"Komputasi Fisika",NULL
1626,"Prakmotor-Motor Listrik",NULL
1627,"Praktikum Mikrokomputer",NULL
1628,"Ekspmotor Khusus",NULL
1629,"Pr. Basis Data",4
1630,"Sistem Waktu Nyata",3
1631,"Ekspmekatronika",NULL
1632,"Pemrogrberorientasi-Object",NULL
1633,"Elektronika Ii",NULL
1634,"Ekspelektronika Ii",NULL
1635,"Information And Assurance Scurity",NULL
1636,"Information Assurance Security",4
1637,"Praktikum Elektronika Ii",NULL
1638,"Bahasa Pemrograman I",1
1639,"Praksensor Dan Transduser",NULL
1640,"Pendidikan Agama Islam",NULL
1641,"Prak.Sensor Transduser",NULL
1642,"Praktikum Elektronika Iii",NULL
1643,"Prak Mikrokomputer Ii",NULL
1644,"Agama Islam I",NULL
1645,"Prakelektronika",NULL
1646,"Mikrokontroler Antarmuka",NULL
1647,"Eksp.Elektronika Digital",NULL
1648,"Sensor Dan Transduser",NULL
1649,"Tugas Akhir Elektronika Instrumentasi",NULL
1650,"Praktinstrumentasi Medis",NULL
1651,"Pengantar Instrumentasi",NULL
1652,"Keselamatan Kerja",NULL
1653,"Keselamatan Kerja Dan Etika Profesi",8
1654,"Praktikum Pengantar Instrumentasi",NULL
1655,"Kerja Lab Alat Ukur Elektronik",NULL
1656,"Instrumentasi Medis",NULL
1657,"Praktikum Algoritma Dan Pemrograman",1
1658,"Simulasi Elektronika",2
1659,"Pemrograman Jaringan",1
1660,"Bahasa Inggeris",NULL
1661,"Layanan Elektronis",5
1662,"Teknik Antarmuka Dan Periferal",NULL
1663,"Perencanaan Rekayasa",NULL
1664,"Audit Dan Keamanan Sistem Informasi",4
1665,"Keamanan Sistem Dan Jaringan Komputer",3
1666,"Data Warehousing Dan Data Mining",4
1667,"Topik Penunjang Edp",NULL
1668,"Data Mining Dan Warehousing",4
1669,"Steganografi",NULL
1670,"Knowledge Discovery",NULL
1671,"Advanced Decision Support Systems",NULL
1672,"Instrumentasi Internet",NULL
1673,"Query Processing",NULL
1674,"Collaborative Filtering",NULL
1675,"Data Warehousing",4
1676,"Metode Verifikasi",NULL
1677,"Data Mining Statistik",4
1678,"Intelligent Database",NULL
1679,"Advance Database",NULL
1680,"Spatial Data Mining",4
1681,"Data Mining Dan Business Intelligence",4
1682,"Text Mining",NULL
1683,"Analisa Statistik",NULL
1684,"Kriptoanalisis",NULL
1685,"Advanced Sofware Engineering",NULL
1686,"Distributed Application Design And Devel",NULL
1687,"Penambangan Data (Data Mining",4
1688,"Sistem Pendukung Keputusan Lanjut",3
1689,"Kapita Selekta (E-Government",NULL
1690,"Kriptologi",NULL
1691,"Data Mining Dan Business Inteligence",4
1692,"Praktek Sistem Basis Data",4
1693,"Praktikum Sistem Basis Data",4
1694,"Computer Aided Drawing (Cad)",NULL
1695,"Aplikasi Komputer Lanjut",NULL
1696,"Peer Teaching",NULL
1697,"Pengantar Topologi",NULL
1698,"Algoritma Struktur Data I",1
1699,"Jaringankomputer",NULL
1700,"Manajemen Jaringan",4
1701,"Inter/Intranet",NULL
1702,"Bahasa Inggris I",NULL
1703,"K.S.Sistem Komputer Dan Jaringan",3
1704,"Pemrog.Jaringan Piranti Bergerak",NULL
1705,"Praktjaringan Komputer",NULL
1706,"Pendidikan Agama Hindu",NULL
1707,"Prakalgoritma Dan Struktur Data I",4
1708,"Pengem.Peranglunak Berorientasi Obyek",NULL
1709,"Praktikum Pemrograman Berorientasi Objek",1
1710,"Praktikum Basis Data 2",4
1711,"Desain Elementer",5
1712,"Pemrograman Jardan Pirbergerak",1
1713,"Pemrog Jaringan Dan Piranti Bergerak",3
1714,"Fisika Elektro",NULL
1715,"Teknik Komputer Dasar",NULL
1716,"Teknik Komputasi",NULL
1717,"Praktbasis Data",4
1718,"Analisis Algoritma Dan Struktur Data",1
1719,"Metode Penelitian Dan Teknik Presentasi",NULL
1720,"Data Warehouse Dan Data Mining",4
1721,"Matematika Elektro",2
1722,"Dss Dan Sistem Kecerdasan Buatan",3
1723,"Sistem Kecerdasan Buatan",3
1724,"Logika Dan Algoritma",2
1725,"Pemrograman Pascal",1
1726,"Pengantar Analisis Algoritma",1
1727,"Sistem Pengolahan Basis Data",4
1728,"Pemrograman Basis Data",4
1729,"Ks.Algoritma Genetika",NULL
1730,"Magang",NULL
1731,"Teori Bahasa & Otomata",NULL
1732,"Proyek Ii (Pembuatan Perangkat Lunak)",5
1733,"Proyek Khusus",5
1734,"Prak.Algoritma Struktur Data I",4
1735,"Tugas Khusus",NULL
1736,"Statistika Dan Penyajian Data",2
1737,"Praktikum Aplikasi Enterprise",9
1738,"Kl Perancangan Antarmuka Pengguna",NULL
1739,"Bahasa Inggris Ii",NULL
1740,"Praktikum Sistem Operasi",3
1741,"Aplikasi Enterprise",9
1742,"Praktikum Basis Data I",4
1743,"Kl Pemrograman Web Lanjut",1
1744,"Kl Desain Dan Perancangan Game",5
1745,"Sains Manajemen Sistem Elektronik",4
1746,"Fisika Reaktor",NULL
1747,"Sistem Pemrograman Mikroprosesor",3
1748,"Rekayasa Web",1
1749,"Teknologi E-Bisnis",NULL
1750,"Komputer Dan Pemrosesan Paralel",3
1751,"Pengelolaan Sistem Linux",3
1752,"Mikrookomputer",NULL
1753,"Instrumentasi Fisika",NULL
1754,"Sistem Akuisisi Data",4
1755,"Intelengensi Buatan",NULL
1756,"Azas Perancangan Sistem Elektronis",3
1757,"Disertasi 1",NULL
1758,"K.S.Teknologi Seluler",NULL
1759,"Teknik Pengolahan Isyarat Digital",NULL
1760,"Kapita Selekta Tekseluler",NULL
1761,"Sistem Jaringan",3
1762,"Sistem Digital Ii",3
1763,"Instrumentasi Optis",NULL
1764,"Disertasi 3",NULL
1765,"Tugas Labiii",NULL
1766,"Skripsi A",NULL
1767,"Interfacing Device",NULL
1768,"Systems And Information Technology",NULL
1769,"Sistem Informasi Manajemen Berbasis Ti",4
1770,"Embedded System 1",NULL
1771,"Keamanan Sistem Jaringan",4
1772,"Foundation Of The Web Technology",1
1773,"Open Source Software Development Environ",NULL
1774,"Mobile Learning",NULL
1775,"Teknik Klasifikasi Dan Pengenalan Pola",NULL
1776,"Sistem Kontrol",3
1777,"Arsitektur E-Government",3
1778,"Embeded System",NULL
1779,"Computer Security",4
1780,"E-System Security",4
1781,"Cyber Forensic",NULL
1782,"Praktikum Fisika Dasar I",NULL
1783,"It Compliance And Audit",NULL
1784,"Teknologi Informasi&Komunikasi Untuk Pen",NULL
1785,"Ekspelektronika Lanjut Ii",NULL
1786,"Elektronika Lanjut Ii",NULL
1787,"Eksp.Elektronika Lanjut 1",NULL
1788,"Org.Arsitektur Komp",NULL
1789,"Security Dan Privacy",4
1790,"Rekayasa E-Bisnis",NULL
1791,"Information Tech.Audit Control",NULL
1792,"Pemrograman Berorientasi Oby",1
1793,"Praktpemrog Berorientasi Oby",NULL
1794,"Prakt. Teknik Komputasi Dasar",NULL
1795,"Praktteknik Komputasi Dasar",NULL
1796,"Praktalgor Dan Struktur Data",4
1797,"Praktsistem Operasi",NULL
1798,"Praktteknik Komputasi",NULL
1799,"Praktpemrograman Berorientasi Obyek",NULL
1800,"Statistik Terapan Sosial",8
1801,"Enterprice System",NULL
1802,"Enterprise Systems",9
1803,"Penduduk Dan Konflik",NULL
1804,"Model Checking",NULL
1805,"Checking Model",NULL
1806,"Komputer Transformasi",NULL
1807,"Komputasi Paralel",3
1808,"Kssistem Terdistribusi",3
1809,"Pemrogwaktu Nyata",NULL
1810,"Pemodelan Inflasi",2
1811,"Algorithm Programming",NULL
1812,"Advautomata Theory",NULL
1813,"Metode Formal Unt Kriptografi",2
1814,"Verifikasi Dan Validasi",NULL
1815,"Pemrogfungsional",NULL
1816,"Kuliah Kerja Nyata (Kkn)",NULL
1817,"Paralel Processing",3
1818,"Keamanan Sistem Dan Jaringan",4
1819,"Kecerdasan Komputasional (Fuzzyneuro F",NULL
1820,"Kl.Internet/Intranet",NULL
1821,"Metodologi Penelitian Ilmu Komputer",5
1822,"Praktek Lapangan Ii",NULL
1823,"Content Management System",5
1824,"Analisis Dan Perancangan Protokol",2
1825,"Praktek Lapangan I",NULL
1826,"Praktek Lapangan Iii",NULL
1827,"Kerja Labvisual Basic",NULL
1828,"Analisis Perancangan Protokol",2
1829,"Analisis Dan Desain Protokol",2
1830,"Proyek Sistem Informasi",4
1831,"Sistem Informasi Terdistribusi",4
1832,"Matematika Ii",2
1833,"Studium Generale",NULL
1834,"Sistem Dan Keamanan Informasi",3
1835,"Organisasi Dan Manajemen",4
1836,"Administrasi Keuangan Negara & Daerah",NULL
1837,"Sistem Ekonomi Indonesia",3
1838,"Komunikasi Organisasi Dan Kehumasan",NULL
1839,"Patalogi Birokrasi",NULL
1840,"Penyajian Data Statistika",4
1841,"Kerja Labpengolahan Data Stati",4
1842,"Kerja Labpengolahan Data Statii",4
1843,"Biostatistika",NULL
1844,"Statistika Ii",2
1845,"Praktikum Analisa Data",4
1846,"Statistik",NULL
1847,"Prakt. Analisis Data",2
1848,"Metode Peramalan",NULL
1849,"Praktikum Metode Statistik I",NULL
1850,"Praktmetode Peramalan",NULL
1851,"Aljabar Linear Terapan",NULL
1852,"Analisa Perancangan Berorientasi Obyek",NULL
1853,"Animasi Komputer",NULL
1854,"Sistem Basis Data I",4
1855,"Analisa & Desain Berorientasi Obyek",5
1856,"Simulasi Dan Pemodelan",2
1857,"Analisa Proses Bisnis",NULL
1858,"Analisa Dan Perancangan Berorientasi Oby",NULL
1859,"Matematika Dan Statistik Terapan",2
1860,"Sistem Informasi Manufaktur",4
1861,"Teknik Simulasi",2
1862,"Statistika Utk Komputasi 2",2
1863,"Statistik Utk Komputasi 1",NULL
1864,"Audit Sistem Informasi",4
1865,"Riset Operasional",NULL
1866,"Pemodelan & Simulasi Bisnis",2
1867,"Statistika Komputasional",2
1868,"Analisis Data Multivariat",2
1869,"Simulasi Sistem Diskrit",2
1870,"Topik Dalam Simulasi Diskrit",2
1871,"Probabilitas Dan Statistik",2
1872,"Topik Dalam Pemodelan Dan Simulasi",2
1873,"Manajemen Sains",4
1874,"Algoritma Dan Pemrograman 2",1
1875,"Arsitektur Si/Ti Perusahaan",3
1876,"Sistem Dan Teknologi Informasi",4
1877,"Manajemen Rantai Pasok",4
1878,"Pemantauan Dan Evaluasi Ti",NULL
1879,"Pengantar Teknologi Informasi Dan Komuni",4
1880,"Pengantar Teknologi Informasi Dan Komunikasi",4
1881,"Etika Profesi Si",8
1882,"Analisis Dan Desain Perangkat Lunak",5
1883,"Dasar-Dasar Pengembangan Perangkat Lunak",5
1884,"Algoritma Dan Pemrograman Komputer",1
1885,"Pengantar Sistem Operasi",3
1886,"Simulasi Sistem",2
1887,"Manajemen Dan Organisasi",4
1888,"Sistem Pengaman Komputer",3
1889,"Manajemen Resiko Ti",4
1890,"Audit Si",NULL
1891,"K 3 L",NULL
1892,"Integrasi Bisnis Dan Ti",NULL
1893,"Manajemen Pengadaan Dan Investasi Ti",4
1894,"Topik Dalam Pengukuran Kinerja Teknologi Informasi",4
1895,"Metodologi Penelitian Sistem Informasi",4
1896,"Teknik Analisis Sebab Akibat Dan Pemodelan Persamaan Struktural",2
1897,"Pengukuran Kinerja Dan Evaluasi Ti",NULL
1898,"Perencanaan Keberlangsungan Bisnis",NULL
1899,"Arsitektur Perangkat Lunak",3
1900,"Pemrograman Berbasis Web",1
1901,"Analis.Citra & Comp.Vision",NULL
1902,"Perancangan Dan Analisis Algoritma",1
1903,"Aljabar Linear",NULL
1904,"Perancangan Dan Analisis Algoritma Lanjut",1
1905,"Teori Graf Dan Otomata",2
1906,"Algoritma Dan Pemrogaman Komputer",1
1907,"Topik Dalam Pengolahan Citra Digital",6
1908,"Topik Khusus Igs",NULL
1909,"Computer Programming",NULL
1910,"Bahasa Indonesia (Penulisan Ilmiah)",NULL
1911,"Konsep Sistem Informasi",4
1912,"Teknik Komplilator",NULL
1913,"Topik Dalam Information Retrieval & Data",4
1914,"Implikasi Dari Digitalisasi",NULL
1915,"Sistem Pendukung Keputusan Dan Executive",3
1916,"Soft Computing",NULL
1917,"Seminar 2 (Kcv,Ncc,Rpl)",NULL
1918,"Sistem Pendukung Keputusan Dan Executive Informati",3
1919,"Seminar Riset 3",NULL
1920,"Riset 3",NULL
1921,"Topik Dalam Penggalian Data",4
1922,"Penggalian Data Dan Analitika Bisnis",4
1923,"Disertasi - Riset 3",NULL
1924,"Desain Dan Manajemen Proses Bisnis",5
1925,"Desain Basis Data",4
1926,"Pengendalian & Audit Sistem Informasi",4
1927,"Manajemen Proyek Sistem Informasi",4
1928,"Data Warehouse Dan Olap",4
1929,"Sistem Inteligensia",3
1930,"Analisis, Pemodelan Dan Desain",2
1931,"Audit It",NULL
1932,"Manajemen Kebutuhan Perangkat Lunak",4
1933,"Desain Dan Manajemen Jaringan Komputer",3
1934,"Pengantar Teknik Informasi & Komunikasi",4
1935,"Perancangan Dan Manajemen Jaringan",4
1936,"Teknologi Antar Jaringan",3
1937,"Topik Dalam Pengaman Jaringan",3
1938,"Topik Dalam Jaringan Multimedia",3
1939,"Pengantar Teknik Informasi Dan Komunikas",4
1940,"Peranc.Sis.Berorientasi Oby",NULL
1941,"Akuntansi Komputer",NULL
1942,"Etika Di Bidang Komputer",NULL
1943,"Pemrograman Lanjutanc",1
1944,"Algoritma Pemograman I",1
1945,"Analisa Disain Ber.Obyek",NULL
1946,"Sistem Informasi Akuntansi",4
1947,"Desain Dan Pengelolaan Jarkom",5
1948,"Manajemen Jaringan Komputer",3
1949,"Pemrograman Internet Berbasis Java",1
1950,"Rekayasa Kebutuhan Perangkat Lunak",5
1951,"Proteksi Aset Informasi",4
1952,"Sekuritas Jaringan",3
1953,"Perancangan Keamanan Sistem Dan Jaringan",4
1954,"Keamanan Informasi Dan Jaringan",3
1955,"Infrastruktur Teknologi Informasi",4
1956,"Jaringan Dan Telekomunikasi Bisnis",3
1957,"Keamanan Aset Informasi",4
1958,"Forensika Digital",NULL
1959,"Topik Dalam Teknik Optimasi",2
1960,"Kecerdasan Komputational",NULL
1961,"Desain Dan Analisa Sistem",5
1962,"Desain Dan Analisa Berorientasi Obyek",5
1963,"Desain Analisa Berorientasi Obyek",5
1964,"Sist.Temu Kembali Informasi",4
1965,"Sosio Teknologi Informasi",4
1966,"Pemrograman Robot",1
1967,"Seminar 1 (Kcv,Ncc,Rpl)",NULL
1968,"Disertasi - Sidang Promosi",NULL
1969,"Komputasi Biomedik",NULL
1970,"Analisis Media Sosial",2
1971,"Disertasi - Seminar Riset 3",NULL
1972,"Disertasi - Seminar Riset 1",NULL
1973,"Sejarah Sastra Indonesia",NULL
1974,"Ketrampilan Berbicara",NULL
1975,"Analisis Wacana Ii",2
1976,"Teori Sastra",NULL
1977,"Program Komputer",1
1978,"Desain Dan Analisa Algoritma",5
1979,"Topik Dalam Interaksi Manusia Dan Komputer",5
1980,"Realitas Virtual Dan Augmentasi",NULL
1981,"Topik Dalam Pengembangan Game",6
1982,"Prakt. Jaringan Komputer",3
1983,"Analisa & Desain Berorient.Obyek",5
1984,"Topik Dlm Rekayasa Kebutuhan",NULL
1985,"Analisa & Desain Terstruktur",5
1986,"Pemrog.Berorientasi Obyek",NULL
1987,"Topik Dalam Evolusi Perangkat Lunak",5
1988,"Rekayasa Kebutuhan Dan Desain Sistem",5
1989,"Topik Dalam Rekayasa Kebutuhan",NULL
1990,"Topik Dalam Rekayasa Pengetahuan",7
1991,"Evolusi Perangkat Lunak",5
1992,"Penulisan Disertasi",NULL
1993,"Rekayasa Kebutuhan",NULL
1994,"Pemrograman Api",1
1995,"Sosio Dan Etika",NULL
1996,"Pemrograman Perangkat Mobile",1
1997,"Pemrograman Perangkat Bergerak",1
1998,"Pemodelan Simulasi",2
1999,"Data Warehouse",4
2000,"Pengaman Sistem Komputer",3
2001,"E-Commerence",NULL
2002,"Sistem Infor.Manajemen",3
2003,"Riset Teknologi Informasi",4
2004,"Konsep E-Bisnis",NULL
2005,"Teknologi Minyak Atsiri Dan Kosmetika",NULL
2006,"Topik Dalam Simulasi Dan Pemodelan Sistem",2
2007,"Sistem Terdistribusi Berbasis Java",3
2008,"Teknologi Open Source",NULL
2009,"Pengembangan Proyek Komersial",5
2010,"Rek.Perangkat Lunak Lanjut",NULL
2011,"Topik Dlm Manaj.Proyek Pl",NULL
2012,"Seminar Proposal Tesis",NULL
2013,"Verifikasi Dan Validasi Perangkat Lunak",5
2014,"Ilmu Sosial Dan Budaya Dasar",8
2015,"Pemrograman Berbasis Kerangka Kerja",1
2016,"Manajemen Nilai",4
2017,"Pengelolaan Hubungan Pelanggan",NULL
2018,"Teknologi Dan Masalah-Masalah Baru",NULL
2019,"Tren Teknologi & Open Source",NULL
2020,"Teknologi Bergerak",NULL
2021,"Topik Dalam Pengembangan Arsitektur Berbasis Layanan",3
2022,"Konstruksi Dan Pengujian Perangkat Lunak",5
2023,"Topik Dalam Pengembangan Sistem Tertanam",3
2024,"Prakt. Struktur Data",4
2025,"Komputasi Grid",NULL
2026,"Statistik 1",NULL
2027,"Komputasi Grid Dan Paralel",3
2028,"Topik Dalam Komputasi Paralel Dan Kinerja Tinggi",3
2029,"Perenc. Strategis Sumber Daya Perusahaan",9
2030,"Topik Dalam Sistem Intelegensia",3
2031,"Topik Dlm Perenc.Stratg Sumber Daya Pers",NULL
2032,"Pengantar Inteligensia Buatan",NULL
2033,"Algoritma Pemrograman",1
2034,"Metodologi Riset Dan Filsasat Ilmu",5
2035,"Seminar Riset 2",NULL
2036,"Riset 2",NULL
2037,"Disertasi - Riset 2",NULL
2038,"Metodologi Riset Dan Filsafat Ilmu",5
2039,"Integrasi Aplikasi Korporasi",NULL
