id,"nama_dosen",jabatanfungsional_id,"url",programstudi_id,perguruantinggi_id
74,"Bob Hardian Syahbuddin",5,"https://forlap.ristekdikti.go.id/dosen/detail/RkJBNEZEN0EtNzVFMy00NzhGLUIxMTEtNDE2ODMwNjc4Mjgz",9,19
75,"Bobby Achirul Awal Nazief",2,"https://forlap.ristekdikti.go.id/dosen/detail/NThEMjNERDItNTdEMC00Qzg4LTlBRDctQkUyRjlDNjNFRTNC",9,19
76,"Denny",4,"https://forlap.ristekdikti.go.id/dosen/detail/QUVGNkNBQ0ItQjdGQy00RTFELUJCMjItODBCMjcyNTY4RUEx",7,19
77,"Dina Chahyati",2,"https://forlap.ristekdikti.go.id/dosen/detail/NjM5QTlEOTAtQjAxMi00MUVFLUIyQjYtNkQ4RjA0QkI5MTI2",7,19
78,"Eko K Budiardjo",1,"https://forlap.ristekdikti.go.id/dosen/detail/NEFFQzdEMDItRjdERi00RjhBLTk2NUMtOUY1MTNBQ0I4NDQw",9,19
79,"Ika Alfina",4,"https://forlap.ristekdikti.go.id/dosen/detail/ODk5QkE3MjQtNUIwQS00RkNBLUFEODgtQUI0NzRBRTA3RjFG",8,19
80,"Iik Wilarso",4,"https://forlap.ristekdikti.go.id/dosen/detail/MjI1MDJCNjctRDczQi00NDA1LThFNjYtMDdFNEU3RDM3Q0Ez",8,19
81,"Indra Budi",2,"https://forlap.ristekdikti.go.id/dosen/detail/RkE3RjY5MDQtRTEwQy00MzU5LTg3NjYtNkQ4QkM0QzlCNDYy",8,19
82,"Lim Yohanes Stefanus",1,"https://forlap.ristekdikti.go.id/dosen/detail/MDhFMTg3OUEtNjY1Ny00MjlCLUJFNDQtRkQ5Q0I0NzQxNjdF",7,19
83,"Mohamad Ivan Fanany",2,"https://forlap.ristekdikti.go.id/dosen/detail/M0M5RThDQjUtNDYxRC00M0U1LThCQkItOEIxOTk1QTY1MzI0",7,19
84,"Muhammad Rahmat Widyanto",1,"https://forlap.ristekdikti.go.id/dosen/detail/ODY3NTU2RkMtQzM4Ni00RjdELUIwN0UtQTkxQzIzNTI4RjBD",7,19
85,"Muhammad Rifki Shihab",4,"https://forlap.ristekdikti.go.id/dosen/detail/QjI0NkQ3NkQtNDg1MC00QjM4LTg5MkQtMkUzMUY5MENEQjQx",9,19
86,"Petrus Mursanto",1,"https://forlap.ristekdikti.go.id/dosen/detail/NjY4REU3NkUtOTg2Qi00Rjg3LUJBQzktNjM1QkExRDJFQzQ5",7,19
87,"Putu Wuri Handayani",4,"https://forlap.ristekdikti.go.id/dosen/detail/MEYwRjlGMDQtOUQyOC00MzNBLTlCMTQtRUQ4OUI1NjMzQ0I0",8,19
88,"R Yugo Kartono Isal",2,"https://forlap.ristekdikti.go.id/dosen/detail/OTA0N0Y1NTQtOENBQi00RkFELUFCQzUtRTM3RDNEQkI5RjIw",7,19
89,"Rahmat Mustafa Samik Ibrahim",2,"https://forlap.ristekdikti.go.id/dosen/detail/NkQwOTQ1NTctMzkyOS00MDI5LUI3RTgtNEUyQTE2NzBCMjk3",7,19
